item_id,model,temperature,task_type,length,mean_label,durbin_watson,ljung_box_stat,ljung_box_pvalue,acf_values,mean_burst_length,n_bursts,mean_inter_burst_interval
bio_1,small-model-A,0.2,biographical_qa,20,0.2,1.2499999999999996,3.0936435758513934,0.37741131765767255,"[0.3625, 0.037500000000000054, 0.025]",2.0,2,5.333333333333333
bio_1,small-model-A,0.2,biographical_qa,20,0.15,1.9607843137254903,3.2550545574874157,0.35394736162189283,"[-0.12647058823529414, -0.13529411764705884, 0.30686274509803924]",1.0,3,5.666666666666667
bio_1,small-model-A,0.2,biographical_qa,20,0.0,,,,[],0.0,0,20.0
bio_1,small-model-A,0.2,biographical_qa,20,0.0,,,,[],0.0,0,20.0
bio_1,small-model-A,0.2,biographical_qa,20,0.15,1.5686274509803924,2.978052261395059,0.39502147905093477,"[0.2068627450980392, -0.1941176470588236, -0.2029411764705883]",1.5,2,5.666666666666667
bio_1,small-model-A,0.2,biographical_qa,20,0.1,2.222222222222222,1.102947759133976,0.7763625308953008,"[-0.11666666666666665, -0.1222222222222222, -0.12777777777777777]",1.0,2,6.0
bio_1,small-model-A,0.2,biographical_qa,20,0.2,1.8749999999999993,3.2167999656002735,0.3593914132340606,"[0.05000000000000002, -0.2749999999999999, -0.22499999999999995]",1.3333333333333333,3,4.0
bio_1,small-model-A,0.2,biographical_qa,20,0.4,0.8333333333333333,7.769152046783626,0.05103151670733781,"[0.55, 0.10000000000000002, -0.14166666666666658]",4.0,2,4.0
bio_1,small-model-A,0.2,biographical_qa,20,0.2,1.8749999999999993,1.6126332989336076,0.656528708537047,"[0.05000000000000002, 0.1, -0.2249999999999999]",1.3333333333333333,3,4.0
bio_1,small-model-A,0.2,biographical_qa,20,0.1,1.6666666666666665,0.33013033673508385,0.9542656563754854,"[-0.0611111111111111, -0.06666666666666667, -0.07222222222222222]",1.0,2,9.0
bio_1,small-model-A,0.7,biographical_qa,20,0.0,,,,[],0.0,0,20.0
bio_1,small-model-A,0.7,biographical_qa,20,0.0,,,,[],0.0,0,20.0
bio_1,small-model-A,0.7,biographical_qa,20,0.6,1.2499999999999998,2.712296946068875,0.4381416005369789,"[0.30000000000000004, -0.0666666666666666, -0.14166666666666655]",4.0,3,2.0
bio_1,small-model-A,0.7,biographical_qa,20,0.2,1.2499999999999996,3.0936435758513934,0.37741131765767255,"[0.3625, 0.037500000000000054, 0.025]",2.0,2,5.333333333333333
bio_1,small-model-A,0.7,biographical_qa,20,0.55,0.8080808080808081,6.745265520704119,0.08047581127649743,"[0.5348484848484849, 0.06969696969696969, 0.008585858585858547]",5.5,2,3.0
bio_1,small-model-A,0.7,biographical_qa,20,0.15,0.7843137254901962,10.334287267724157,0.015928205245297925,"[0.5990196078431372, 0.19803921568627447, -0.20294117647058824]",3.0,1,8.5
bio_1,small-model-A,0.7,biographical_qa,20,0.15,2.3529411764705883,2.642863247405439,0.4500245690837542,"[-0.18529411764705883, -0.19411764705882353, 0.18921568627450974]",1.0,3,4.25
bio_1,small-model-A,0.7,biographical_qa,20,0.05,2.1052631578947376,0.24747581299127994,0.9695838996590183,"[-0.055263157894736833, -0.057894736842105256, -0.060526315789473685]",1.0,1,9.5
bio_1,small-model-A,0.7,biographical_qa,20,0.3,1.1904761904761907,3.2222415671921807,0.35861261957108476,"[0.3357142857142858, -0.09047619047619049, 0.12619047619047621]",2.0,3,4.666666666666667
bio_1,small-model-A,0.7,biographical_qa,20,0.4,0.8333333333333333,7.33777949776402,0.061876411957027345,"[0.55, 0.10000000000000002, -0.05833333333333328]",4.0,2,4.0
bio_1,small-model-A,1.0,biographical_qa,20,0.1,1.111111111111111,5.248496816963737,0.15447948358567992,"[0.43888888888888894, -0.1222222222222222, -0.12777777777777777]",2.0,1,9.0
